ID,condition,hour,replicate,index_marcogen
260,exp1_CL-FTH,19_2,4,152
261,exp2_FL-FTH,5,1,9
262,exp2_FL-FTH,5,2,10
263,exp2_FL-FTH,5,3,11
264,exp2_FL-FTH,5.5,1,12
265,exp2_FL-FTH,5.5,2,13
266,exp2_FL-FTH,5.5,3,14
267,exp2_FL-FTH,6,1,15
268,exp2_FL-FTH,6,2,16
269,exp2_FL-FTH,6,3,17
270,exp2_FL-FTH,6.5,1,18
271,exp2_FL-FTH,6.5,2,19
272,exp2_FL-FTH,6.5,3,20
273,exp2_FL-FTH,7,1,21
274,exp2_FL-FTH,7,2,22
275,exp2_FL-FTH,7,3,23
276,exp2_FL-FTH,8,1,24
277,exp2_FL-FTH,8,2,25
278,exp2_FL-FTH,8,3,26
279,exp2_FL-FTH,9,1,27
280,exp2_FL-FTH,9,2,28
281,exp2_FL-FTH,9,3,29
282,exp2_FL-FTH,10,1,30
283,exp2_FL-FTH,10,2,31
284,exp2_FL-FTH,10,3,32
285,exp2_FL-FTH,11,1,33
286,exp2_FL-FTH,11,2,34
287,exp2_FL-FTH,11,3,35
288,exp2_FL-FTH,13,1,36
289,exp2_FL-FTH,13,2,37
290,exp2_FL-FTH,13,3,38
291,exp2_FL-FTH,15,1,39
292,exp2_FL-FTH,15,2,40
293,exp2_FL-FTH,15,3,41
294,exp2_FL-FTH,16,1,42
295,exp2_FL-FTH,16,2,43
296,exp2_FL-FTH,16,3,44
297,exp2_FL-FTH,17,1,45
298,exp2_FL-FTH,17,2,46
299,exp2_FL-FTH,17,3,47
300,exp2_FL-FTH,17.5,1,48
301,exp2_FL-FTH,17.5,2,49
302,exp2_FL-FTH,17.5,3,100
303,exp2_FL-FTH,18,1,51
304,exp2_FL-FTH,18,2,52
305,exp2_FL-FTH,18,3,53
306,exp2_FL-FTH,18.5,1,54
307,exp2_FL-FTH,18.5,2,55
308,exp2_FL-FTH,18.5,3,56
309,exp2_FL-FTH,19_2,1,57
310,exp2_FL-FTH,19_2,2,58
311,exp2_FL-FTH,19_2,3,59
312,exp2_CL-CTH,5,1,109
313,exp2_CL-CTH,5,2,110
