name	condition	hour	replicate
hashida1-249	CL/FTH	15	1
hashida1-250	CL/FTH	15	2
hashida1-251	CL/FTH	15	3
hashida1-252	CL/FTH	15	4
hashida1-253	CL/FTH	17	1
hashida1-254	CL/FTH	17	2
hashida1-255	CL/FTH	17	3
hashida1-256	CL/FTH	17	4
hashida1-257	CL/FTH	19_2	1
hashida1-258	CL/FTH	19_2	2
hashida1-259	CL/FTH	19_2	3
hashida1-260	CL/FTH	19_2	4
