"","day","hour","min","temp_log","temp_set","hum_log","hum_set"
"529",2,3,48,17.1,17.1,78,80
"530",2,3,49,17,17.1,82,80
"531",2,3,50,17.2,17.2,82,80
"532",2,3,51,17.1,17.2,80,80
"533",2,3,52,17.4,17.2,85,80
"534",2,3,53,17.1,17.2,78,80
"535",2,3,54,17.2,17.1,84,80
"536",2,3,55,17.1,17.1,78,80
"537",2,3,56,17.1,17.1,82,80
"538",2,3,57,17.2,17,80,80
"539",2,3,58,17,17,81,80
"540",2,3,59,17.2,17.1,84,80
"541",2,4,0,16.9,17.1,79,80
"542",2,4,1,17.2,17.2,84,80
"543",2,4,2,17.1,17.2,78,80
"544",2,4,3,17.2,17.2,83,80
"545",2,4,4,17.2,17.2,83,80
"546",2,4,5,17.3,17.3,78,80
"547",2,4,6,17.4,17.4,83,80
"548",2,4,7,17.4,17.4,78,80
"549",2,4,8,17.4,17.5,82,80
"550",2,4,9,17.6,17.5,83,80
"551",2,4,10,17.4,17.5,80,80
"552",2,4,11,17.6,17.5,85,80
"553",2,4,12,17.4,17.6,78,80
"554",2,4,13,17.5,17.5,83,80
"555",2,4,14,17.6,17.5,79,80
"556",2,4,15,17.4,17.5,81,80
"557",2,4,16,17.7,17.5,83,80
"558",2,4,17,17.4,17.6,80,80
"559",2,4,18,17.7,17.6,84,80
"560",2,4,19,17.5,17.6,78,80
"561",2,4,20,17.6,17.5,84,80
"562",2,4,21,17.4,17.5,78,80
"563",2,4,22,17.5,17.5,83,80
"564",2,4,23,17.5,17.5,78,80
"565",2,4,24,17.4,17.5,81,80
"566",2,4,25,17.7,17.5,83,80
"567",2,4,26,17.4,17.5,80,80
"568",2,4,27,17.7,17.6,85,80
"569",2,4,28,17.4,17.6,78,80
"570",2,4,29,17.6,17.6,84,80
"571",2,4,30,17.5,17.6,78,80
"572",2,4,31,17.5,17.6,78,80
"573",2,4,32,17.8,17.6,85,80
"574",2,4,33,17.5,17.6,79,80
"575",2,4,34,17.7,17.6,84,80
"576",2,4,35,17.5,17.6,78,80
"577",2,4,36,17.6,17.6,84,80
"578",2,4,37,17.5,17.6,78,80
"579",2,4,38,17.6,17.6,84,80
"580",2,4,39,17.5,17.6,77,80
"581",2,4,40,17.5,17.6,84,80
"582",2,4,41,17.5,17.6,77,80
"583",2,4,42,17.5,17.6,84,80
"584",2,4,43,17.5,17.5,77,80
"585",2,4,44,17.5,17.5,83,80
"586",2,4,45,17.4,17.5,78,80
"587",2,4,46,17.4,17.5,83,80
"588",2,4,47,17.6,17.5,80,80
"589",2,4,48,17.5,17.6,81,80
"590",2,4,49,17.7,17.6,84,80
"591",2,4,50,17.4,17.6,81,80
